Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-08-18,121.169998,121.389999,119.900002,120.720001,98.709938,8728000,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-08-19,119.910004,119.989998,119.32,119.919998,98.709923,7798300,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-08-22,119.900002,119.900002,118.949997,119.129997,98.059616,6544900,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-08-23,119.669998,119.959999,119.019997,119.440002,98.314804,5603200,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-08-24,119.480003,119.610001,118.620003,118.709999,97.713921,6303900,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-08-25,118.860001,119.209999,118.330002,118.57,97.598701,5566000,,,,,,,,,,
2016-08-26,118.839996,119.739998,118.559998,119.040001,97.985558,6482700,,,,,,,,,,
2016-08-29,119.300003,120.129997,119.059998,119.919998,98.709923,5074900,,,,,,,,,,
2016-08-30,120.669998,120.669998,119.260002,119.470001,98.339493,3820500,,,,,,,,,,
2016-08-31,119.540001,119.620003,119.010002,119.339996,98.232498,5693100,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-09-01,119.190002,119.389999,118.599998,119.080002,98.018463,4551800,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-09-02,119.360001,119.809998,118.900002,119.32,98.216011,5806400,,,,,,,,,,
2016-09-06,119.779999,119.970001,119.360001,119.75,98.569992,5280700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-09-07,119.839996,119.949997,119.440002,119.610001,98.454735,4753800,,,,,,,,,,
2016-09-08,119.370003,119.82,119.139999,119.470001,98.339493,4833000,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-09-09,119.029999,119.160004,118.18,118.230003,97.31884,7957300,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-09-12,117.760002,119.449997,117.379997,119.160004,98.084343,7239800,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-09-13,118.419998,118.830002,117.489998,117.610001,96.808479,7957900,,,,,,,,,,
2016-09-14,117.849998,118.330002,117.459999,117.860001,97.014267,6124900,,,,,,,,,,
2016-09-15,117.809998,118.940002,117.32,118.629997,97.648102,5812100,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-09-16,118.510002,119.139999,118.120003,118.25,97.335281,12408800,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
